ID,Zip,BirthMonth,TotalSales,TotalSavings,TotalVisits,LastVisit,ReferralCode
547499,35613,,2485.6000,131635.6200,35,2018-04-22 16:06:12.700000, 
547526,25564,,4656.5800,421.5200,44,2017-02-28 17:32:18.217000,
547527,35173,,4025.4000,404.4100,79,2017-03-25 12:50:38.613000,Catalog
547534,72758-7530,,2567.4600,91.8600,38,2017-03-17 13:11:56.490000,Friend
547546,35080,,4774.0800,341.0900,85,2019-05-18 10:07:59, 
547597,35578,,245.7700,50.7000,12,2020-01-23 14:56:35, 
547602,35188,,475.7490,0.0000,14,2019-06-14 14:00:42, 
547604,351154381,,1703.4000,252.9300,25,2019-10-25 16:34:17, 
547620,39470-3502,,4771.0600,255.3500,26,2015-06-17 14:11:27.143000, 
547622,31014-8326,,924.1900,3.9000,14,2014-02-24 15:24:16,Friend
547625,36701-0336,,17003.4000,313.5400,38,2019-08-16 10:30:22.740000,Internet
547628,36608-2346,,6681.7600,477.1000,22,2014-06-19 10:23:54.530000,
547660,35763-8683,,1860.4900,262.0500,45,2020-02-11 13:56:44.310000,
547661,70809-2949,,1934.9600,34.0800,22,2017-07-20 15:37:24.590000,
547686,993239637,,4467.6200,52.8000,42,2017-07-28 20:46:09.900000,Catalog
547687,35222-3620,,5703.7200,425.9400,118,2017-07-28 15:40:40.590000,Internet
547702,35035,,19749.7285,11628.3688,823,2020-02-18 11:03:20,Brochure
547705,35049,,15127.2770,399.4800,56,2020-03-16 14:11:19, 
547709,35215,,665.5600,32.0000,21,2017-08-17 12:28:27,Friend
547717,421039770,,863.7300,37.1500,41,2020-01-08 14:22:03.030000,
547741,305233520,,9861.9800,1088.5400,58,2020-01-22 10:57:00.537000,
547763,80908,,8167.6600,2310.4000,80,2017-10-01 14:24:59.993000,
547767,35033,,888.5292,218.5000,22,2020-02-27 12:49:06,Friend
547773,32578-1718,,2862.1200,75.8200,34,2017-10-16 18:50:45.290000,
547793,366081411,,146.3700,11.0200,7,2019-06-24 15:41:44.667000,Catalog
547795,35405,,1258.0600,104.8000,24,2018-12-10 17:43:59.250000,
547801,35127,,3878.1135,546.0200,74,2020-02-02 12:26:56,Catalog
547813,367503549,,3329.4500,121.4800,39,2019-07-08 16:00:49, 
547815,36804-0403,,3971.5800,319.4200,18,2017-11-21 12:22:26.057000,
